Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,Rud,Ele,Thr,Ail,P1,SA,SB,SC,SD,SE,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-04-12,13:46:07.920,-42,-13,100,13,1,4,250,-18,96,13,8.1,2.0,77,91,0.04,0.12,2.70,"OK",0.0,54.357206 -1.264146,1.7,19.50,0,11,-6,-1024,-1,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:07.980,-42,-13,100,13,1,4,250,-18,96,13,8.1,2.0,77,91,0.04,0.12,2.70,"ANGL",0.0,54.357206 -1.264146,1.7,19.50,0,11,-6,-1024,-1,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.080,-42,-13,100,13,1,4,250,-18,96,13,8.1,2.0,78,91,0.04,0.12,2.70,"ANGL",0.0,54.357206 -1.264148,1.4,19.50,-1,11,-6,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.180,-42,-12,100,13,1,4,250,-17,96,13,8.1,2.0,78,91,0.06,0.02,2.68,"ANGL",0.0,54.357206 -1.264148,1.4,19.50,-1,11,-7,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.280,-42,-12,100,13,1,4,250,-17,96,13,8.1,2.0,78,91,0.06,0.02,2.68,"ANGL",-0.1,54.357206 -1.264150,1.2,19.50,-1,11,-8,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.380,-42,-12,100,13,1,4,250,-4,100,13,8.1,2.1,78,91,0.08,0.01,2.64,"ANGL",-0.1,54.357206 -1.264150,1.2,19.50,-1,11,-8,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.480,-42,-12,100,13,1,4,250,-4,100,13,8.1,2.1,78,91,0.08,0.01,2.64,"ANGL",-0.1,54.357206 -1.264150,1.2,19.50,-1,11,-8,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.580,-42,-12,100,13,1,4,250,-4,100,13,8.1,2.1,78,91,0.08,0.01,2.64,"ANGL",-0.1,54.357207 -1.264150,1.0,19.50,-1,11,-8,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.680,-42,-13,100,5,1,4,250,-2,100,13,8.1,2.1,78,91,0.10,0.00,2.65,"ANGL",-0.1,54.357207 -1.264150,1.0,19.50,-1,11,-8,-1024,0,27,1024,-1,-1,-1,1,-1,0x0000000000000000,1513,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.780,-42,-13,100,5,1,4,250,-2,100,13,8.1,2.1,78,91,0.10,0.00,2.65,"ANGL",-0.2,54.357207 -1.264150,0.1,19.50,-1,11,-8,-1024,0,27,1024,-1,-1,-1,1,-1,0x0000000000000000,1513,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.880,-8,-19,100,7,0,4,250,-8,100,5,8.1,2.2,78,91,0.08,0.03,2.61,"ANGL",-0.2,54.357207 -1.264150,0.1,19.50,-1,11,-8,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:08.980,-8,-19,100,7,0,4,250,-8,100,5,8.1,2.2,78,91,0.08,0.03,2.61,"ANGL",-0.2,54.357207 -1.264150,0.1,19.50,-1,11,-8,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:09.080,-8,-19,100,6,0,4,250,-8,100,6,8.1,2.2,78,91,0.08,0.03,2.61,"ANGL",-0.2,54.357207 -1.264150,0.6,19.50,-1,11,-8,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1496,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:09.180,-8,-19,100,6,0,4,250,-8,100,6,8.1,2.2,78,91,0.00,0.13,2.65,"ANGL",-0.2,54.357207 -1.264150,0.6,19.50,-1,11,-7,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:09.280,-8,-19,100,6,0,4,250,-8,100,6,8.1,2.2,78,91,0.00,0.13,2.65,"ANGL",-0.1,54.357207 -1.264151,0.8,19.50,-1,11,-7,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:09.380,-8,-19,100,6,0,4,250,-9,100,5,8.1,2.3,78,91,-0.02,0.16,2.66,"ANGL",-0.1,54.357207 -1.264151,0.8,19.50,-1,11,-21,-1024,0,27,1024,-1,-1,-1,1,-1,0x0000000000000000,1513,1500,988,1490,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:09.480,-8,-19,100,6,0,4,250,-9,100,5,8.1,2.3,78,91,-0.02,0.16,2.66,"ANGL",-0.1,54.357207 -1.264151,0.8,19.50,-1,11,-17,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1492,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:09.580,-8,-19,100,5,0,4,250,-9,100,6,8.1,2.3,78,91,-0.02,0.16,2.66,"ANGL",-0.1,54.357207 -1.264151,0.1,19.50,-1,11,-6,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:09.680,-8,-19,100,5,0,4,250,-9,100,6,8.1,2.3,78,91,0.03,0.10,2.66,"ANGL",-0.1,54.357207 -1.264151,0.1,19.50,-1,11,-7,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-04-12,13:46:09.780,-8,-19,100,5,0,4,250,-9,100,6,8.1,2.3,78,91,0.03,0.10,2.66,"ANGL",0.0,54.357208 -1.264151,1.5,19.50,-1,11,-7,-1024,0,28,1024,-1,-1,-1,1,-1,0x0000000000000000,1514,1500,988,1497,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
