Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,Rud,Ele,Thr,Ail,P1,SA,SB,SC,SD,SE,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-04-18,08:42:57.270,-126,-10,100,14,1,4,50,-12,96,13,8.1,1.7,74,90,-0.16,0.08,0.73,"OK",0.2,54.619808 -1.085057,1.2,33.80,-1,10,30,-1024,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,988,1515,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:57.320,-126,-10,100,14,1,4,50,-12,96,13,8.1,1.7,74,90,-0.16,0.08,0.73,"OK",0.2,54.619808 -1.085056,1.2,33.80,-1,10,30,-1024,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,988,1515,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:57.420,-126,-10,100,13,1,4,50,-19,100,13,8.1,1.7,74,90,-0.17,0.09,0.74,"ANGL",0.2,54.619808 -1.085056,1.2,33.80,-1,10,30,-1024,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,988,1515,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:57.520,-126,-10,100,13,1,4,50,-19,100,13,8.1,1.7,74,90,-0.17,0.09,0.74,"ANGL",0.2,54.619808 -1.085057,0.5,33.80,-1,10,30,-1024,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,988,1515,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:57.620,-126,-8,100,9,1,4,250,-3,100,13,8.1,1.8,75,90,-0.17,0.09,0.74,"ANGL",0.2,54.619808 -1.085057,0.5,33.80,-1,10,28,-1024,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,988,1514,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:57.720,-126,-8,100,9,1,4,250,-3,100,13,8.1,1.8,75,90,-0.21,0.11,0.80,"ANGL",0.1,54.619808 -1.085057,0.5,33.80,-1,10,27,-1016,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,992,1513,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:57.820,-126,-8,100,9,1,4,250,-3,100,13,8.1,1.9,75,90,-0.21,0.11,0.80,"ANGL",0.1,54.619808 -1.085055,1.0,33.80,-1,10,26,-1024,-5,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1498,988,1513,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:57.920,-126,-8,100,6,1,4,250,-3,100,14,8.1,1.9,75,90,-0.19,0.06,0.92,"ANGL",0.1,54.619808 -1.085055,1.0,33.80,-1,10,26,-1018,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,991,1513,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:58.020,-126,-8,100,6,1,4,250,-3,100,14,8.1,1.9,75,90,-0.19,0.06,0.92,"ANGL",0.1,54.619808 -1.085054,1.7,33.80,-1,10,24,-1021,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,990,1512,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-04-18,08:42:58.120,-126,-8,100,6,1,4,250,-3,100,15,8.1,1.9,75,90,-0.18,0.06,0.96,"ANGL",0.1,54.619808 -1.085054,1.7,33.80,-1,10,26,-1024,-3,19,1024,-1,-1,-1,1,-1,0x0000000000000000,1509,1499,988,1513,2012,988,988,988,2268,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
